unique_id,n_hits,any_hit,has_error_level
73752,0,False,False
54196,0,False,False
169124,0,False,False
109551,0,False,False
78906,0,False,False
169746,2,True,False
145939,0,False,False
154252,0,False,False
38512,0,False,False
96336,0,False,False
123788,0,False,False
185961,0,False,False
158921,0,False,False
28508,0,False,False
83192,0,False,False
111482,0,False,False
35780,0,False,False
137451,0,False,False
145716,0,False,False
113535,0,False,False
163328,0,False,False
10336,0,False,False
99329,0,False,False
120922,0,False,False
146584,0,False,False
164683,0,False,False
146404,0,False,False
25240,0,False,False
157744,0,False,False
122434,0,False,False
111495,0,False,False
63007,0,False,False
104976,0,False,False
157963,0,False,False
119849,0,False,False
154658,0,False,False
150349,0,False,False
81848,0,False,False
27200,0,False,False
84129,0,False,False
58019,0,False,False
88033,0,False,False
64809,0,False,False
6158,1,True,False
127755,0,False,False
73161,0,False,False
1981,0,False,False
45141,0,False,False
4741,0,False,False
1591,0,False,False
147185,0,False,False
86705,0,False,False
46166,0,False,False
28360,0,False,False
85178,0,False,False
107759,0,False,False
75324,0,False,False
74494,0,False,False
126819,0,False,False
61734,0,False,False
41293,0,False,False
9175,0,False,False
43891,0,False,False
121151,0,False,False
177532,1,True,False
18009,3,True,True
178042,8,True,False
106273,0,False,False
83077,0,False,False
163614,0,False,False
49957,0,False,False
176065,0,False,False
119177,0,False,False
94694,0,False,False
62371,0,False,False
71547,0,False,False
159936,0,False,False
135596,0,False,False
126303,0,False,False
45165,2,True,False
15796,0,False,False
72037,0,False,False
45159,0,False,False
147939,0,False,False
152033,0,False,False
13686,0,False,False
30596,0,False,False
30653,1,True,False
105762,0,False,False
89422,0,False,False
98687,0,False,False
42350,0,False,False
131791,0,False,False
123470,0,False,False
99991,0,False,False
104283,0,False,False
147147,0,False,False
141449,0,False,False
200,2,True,False
183429,0,False,False
8052,0,False,False
149182,0,False,False
61530,0,False,False
179598,0,False,False
98708,0,False,False
145106,0,False,False
19217,0,False,False
131840,0,False,False
183848,0,False,False
95501,0,False,False
55021,0,False,False
90832,0,False,False
17978,0,False,False
175094,0,False,False
11427,0,False,False
65295,0,False,False
139445,0,False,False
27479,0,False,False
117440,0,False,False
161491,0,False,False
180915,0,False,False
120384,0,False,False
168086,0,False,False
152976,0,False,False
40966,0,False,False
7613,0,False,False
169485,0,False,False
109569,0,False,False
20660,0,False,False
180750,0,False,False
178176,0,False,False
64602,0,False,False
139028,0,False,False
113319,0,False,False
112086,0,False,False
73383,0,False,False
2202,1,True,False
14533,0,False,False
45276,0,False,False
37947,0,False,False
53653,0,False,False
55846,0,False,False
182834,2,True,False
111307,0,False,False
106665,0,False,False
104242,0,False,False
60145,0,False,False
160408,0,False,False
88590,8,True,False
119789,0,False,False
75959,0,False,False
44056,0,False,False
120749,0,False,False
182307,1,True,False
659,0,False,False
56595,0,False,False
73576,0,False,False
70527,0,False,False
121399,0,False,False
31221,0,False,False
58741,0,False,False
33056,0,False,False
109600,0,False,False
40686,0,False,False
86822,0,False,False
40262,1,True,False
